name,smiles,compound_class
caffeine,Cn1cnc2c1c(=O)n(C)c(=O)n2C,alkaloid
theobromine,Cn1cnc2c1c(=O)[nH]c(=O)n2C,alkaloid
nicotine,CN1CCC[C@H]1c1cccnc1,alkaloid
morphine,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5,alkaloid
codeine,COc1ccc2C[C@H]3N(C)CC[C@@]45[C@@H](Oc1c24)[C@@H](O)C=C[C@@H]35,alkaloid
quinine,COc1ccc2nccc([C@@H](O)[C@@H]3C[C@@H]4CCN3C[C@@H]4C=C)c2c1,alkaloid
atropine,CN1C2CCC1CC(C2)OC(=O)C(CO)c1ccccc1,alkaloid
scopolamine,CN1[C@@H]2CC(C[C@H]1[C@H]1O[C@@H]21)OC(=O)C(CO)c1ccccc1,alkaloid
cocaine,COC(=O)[C@H]1[C@@H](OC(=O)c2ccccc2)C[C@@H]2CC[C@H]1N2C,alkaloid
berberine,COc1ccc2cc3[n+](cc2c1OC)CCc1cc2OCOc2cc1-3,alkaloid
papaverine,COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC,alkaloid
strychnine,O=C1C[C@H]2OCC=C3CN4CC[C@]56[C@H]4C[C@H]3[C@H]2[C@H]6N1c1ccccc15,alkaloid
piperine,O=C(/C=C/C=C/c1ccc2OCOc2c1)N1CCCCC1,alkaloid
ephedrine,CN[C@@H](C)[C@H](O)c1ccccc1,alkaloid
harmine,COc1ccc2c(c1)[nH]c1c(C)nccc12,alkaloid
camptothecin,CC[C@@]1(O)C(=O)OCc2c1cc1-c3nc4ccccc4cc3Cn1c2=O,alkaloid
capsaicin,COc1cc(CNC(=O)CCCC/C=C/C(C)C)ccc1O,alkaloid
quercetin,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,flavonoid
kaempferol,O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,flavonoid
myricetin,O=c1c(O)c(-c2cc(O)c(O)c(O)c2)oc2cc(O)cc(O)c12,flavonoid
apigenin,O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,flavonoid
luteolin,O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,flavonoid
chrysin,O=c1cc(-c2ccccc2)oc2cc(O)cc(O)c12,flavonoid
naringenin,O=C1C[C@@H](c2ccc(O)cc2)Oc2cc(O)cc(O)c21,flavonoid
hesperetin,COc1ccc([C@@H]2CC(=O)c3c(O)cc(O)cc3O2)cc1O,flavonoid
genistein,O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12,flavonoid
daidzein,O=c1c(-c2ccc(O)cc2)coc2cc(O)ccc12,flavonoid
biochanin_a,COc1ccc(-c2coc3cc(O)cc(O)c3c2=O)cc1,flavonoid
catechin,O[C@@H]1Cc2c(O)cc(O)cc2O[C@H]1c1ccc(O)c(O)c1,flavonoid
epicatechin,O[C@@H]1Cc2c(O)cc(O)cc2O[C@@H]1c1ccc(O)c(O)c1,flavonoid
baicalein,O=c1cc(-c2ccccc2)oc2cc(O)c(O)c(O)c12,flavonoid
fisetin,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)ccc12,flavonoid
galangin,O=c1c(O)c(-c2ccccc2)oc2cc(O)cc(O)c12,flavonoid
tangeretin,COc1ccc(-c2cc(=O)c3c(OC)c(OC)c(OC)c(OC)c3o2)cc1,flavonoid
menthol,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O,terpenoid
limonene,CC1=CC[C@@H](CC1)C(C)=C,terpenoid
geraniol,CC(C)=CCC/C(C)=C/CO,terpenoid
linalool,CC(C)=CCCC(C)(O)C=C,terpenoid
camphor,CC1(C)[C@@H]2CC[C@@]1(C)C(=O)C2,terpenoid
borneol,CC1(C)[C@@H]2CC[C@@]1(C)[C@@H](O)C2,terpenoid
alpha_pinene,CC1=CC[C@@H]2C[C@H]1C2(C)C,terpenoid
carvone,CC(=C)[C@@H]1CC=C(C)C(=O)C1,terpenoid
thymol,Cc1ccc(C(C)C)c(O)c1,terpenoid
eucalyptol,CC12CCC(CC1)C(C)(C)O2,terpenoid
citral,CC(C)=CCC/C(C)=C/C=O,terpenoid
farnesol,CC(C)=CCC/C(C)=C/CC/C(C)=C/CO,terpenoid
beta_caryophyllene,C/C1=C\CCC(=C)[C@H]2CC(C)(C)[C@@H]2CC1,terpenoid
artemisinin,C[C@@H]1CC[C@H]2[C@@H](C)C(=O)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@]32OO4,terpenoid
parthenolide,C/C1=C\CC[C@@]2(C)O[C@@H]2[C@H]2OC(=O)C(=C)[C@@H]2CC1,terpenoid
abietic_acid,CC(C)C1=CC2=CC[C@H]3[C@](C)(CCC[C@@]3(C)C(=O)O)[C@H]2CC1,terpenoid
oleanolic_acid,CC1(C)CC[C@]2(C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1,terpenoid
squalene,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C=C(\C)CC/C=C(\C)CCC=C(C)C,terpenoid
coumarin,O=c1ccc2ccccc2o1,phenylpropanoid
umbelliferone,O=c1ccc2ccc(O)cc2o1,phenylpropanoid
scopoletin,COc1cc2ccc(=O)oc2cc1O,phenylpropanoid
scoparone,COc1cc2ccc(=O)oc2cc1OC,phenylpropanoid
esculetin,O=c1ccc2cc(O)c(O)cc2o1,phenylpropanoid
psoralen,O=c1ccc2cc3ccoc3cc2o1,phenylpropanoid
bergapten,COc1c2ccoc2cc2oc(=O)ccc12,phenylpropanoid
osthole,COc1ccc2ccc(=O)oc2c1CC=C(C)C,phenylpropanoid
caffeic_acid,O=C(O)/C=C/c1ccc(O)c(O)c1,phenylpropanoid
ferulic_acid,COc1cc(/C=C/C(=O)O)ccc1O,phenylpropanoid
p_coumaric_acid,O=C(O)/C=C/c1ccc(O)cc1,phenylpropanoid
sinapic_acid,COc1cc(/C=C/C(=O)O)cc(OC)c1O,phenylpropanoid
cinnamaldehyde,O=C/C=C/c1ccccc1,phenylpropanoid
eugenol,C=CCc1ccc(O)c(OC)c1,phenylpropanoid
anethole,C/C=C/c1ccc(OC)cc1,phenylpropanoid
